fault_type,task_id,seed,condition,evidence_source,fault_step,fault_layer,fault_seed,first_action_after_fault,first_action_after_fault_step,observation_after_fault,retry_executed,goto_fallback,tool_changed,plan_revised,stale_action_repeated,premature_stop,official_success,evaluator_status,recovered,behavior_labels,injection_count,source_status,source_log,official_eval
web_dom_missing,27,3,fault,log,2,observation,3,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task27_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task27_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/official_eval.json
web_dom_missing,30,1,fault,log,2,observation,1,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task30_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task30_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task30_seed1/30/web_dom_missing_seed_1/official_eval.json
web_dom_missing,30,2,fault,log,2,observation,2,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task30_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task30_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task30_seed2/30/web_dom_missing_seed_2/official_eval.json
web_dom_missing,30,3,fault,log,2,observation,3,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task30_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task30_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task30_seed3/30/web_dom_missing_seed_3/official_eval.json
web_http_error,132,1,fault,log,2,environment,1,goto,2,True,False,False,True,,False,False,False,failure,False,fault_detected;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task132_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task132_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed1/132/web_http_error_seed_1/official_eval.json
web_http_error,132,2,fault,log,2,environment,2,goto,2,True,False,True,True,,False,False,False,failure,False,fault_detected;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task132_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task132_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed2/132/web_http_error_seed_2/official_eval.json
web_http_error,132,3,fault,log,2,environment,3,goto,2,True,False,True,True,,False,False,False,failure,False,fault_detected;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task132_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task132_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task132_seed3/132/web_http_error_seed_3/official_eval.json
web_http_error,27,1,fault,log,2,environment,1,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task27_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task27_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed1/27/web_http_error_seed_1/official_eval.json
web_http_error,27,2,fault,log,2,environment,2,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task27_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task27_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed2/27/web_http_error_seed_2/official_eval.json
web_http_error,27,3,fault,log,2,environment,3,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task27_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task27_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task27_seed3/27/web_http_error_seed_3/official_eval.json
web_http_error,30,1,fault,log,2,environment,1,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task30_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task30_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed1/30/web_http_error_seed_1/official_eval.json
web_http_error,30,2,fault,log,2,environment,2,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task30_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task30_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed2/30/web_http_error_seed_2/official_eval.json
web_http_error,30,3,fault,log,2,environment,3,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task30_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_http_error_task30_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_http_error_task30_seed3/30/web_http_error_seed_3/official_eval.json
web_popup_block,132,1,fault,log,2,observation,1,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task132_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task132_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_popup_block_task132_seed1/132/web_popup_block_seed_1/official_eval.json
web_popup_block,132,2,fault,log,2,observation,2,click,2,True,False,False,True,,False,False,False,failure,False,fault_detected;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task132_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task132_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_popup_block_task132_seed2/132/web_popup_block_seed_2/official_eval.json
web_popup_block,132,3,fault,log,2,observation,3,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task132_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task132_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_popup_block_task132_seed3/132/web_popup_block_seed_3/official_eval.json
web_popup_block,27,1,fault,log,2,observation,1,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task27_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task27_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_popup_block_task27_seed1/27/web_popup_block_seed_1/official_eval.json
web_popup_block,27,2,fault,log,2,observation,2,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task27_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task27_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_popup_block_task27_seed2/27/web_popup_block_seed_2/official_eval.json
web_popup_block,27,3,fault,log,2,observation,3,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task27_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task27_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_popup_block_task27_seed3/27/web_popup_block_seed_3/official_eval.json
web_popup_block,30,1,fault,log,2,observation,1,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task30_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task30_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_popup_block_task30_seed1/30/web_popup_block_seed_1/official_eval.json
web_popup_block,30,2,fault,log,2,observation,2,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task30_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task30_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_popup_block_task30_seed2/30/web_popup_block_seed_2/official_eval.json
web_popup_block,30,3,fault,log,2,observation,3,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task30_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_popup_block_task30_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_popup_block_task30_seed3/30/web_popup_block_seed_3/official_eval.json
web_timeout,132,1,fault,log,2,environment,1,click,2,True,False,False,True,,False,False,False,failure,False,fault_detected;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task132_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task132_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_timeout_task132_seed1/132/web_timeout_seed_1/official_eval.json
web_timeout,132,2,fault,log,2,environment,2,click,2,True,False,False,True,,False,False,False,failure,False,fault_detected;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task132_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task132_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_timeout_task132_seed2/132/web_timeout_seed_2/official_eval.json
web_timeout,132,3,fault,log,2,environment,3,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task132_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task132_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_timeout_task132_seed3/132/web_timeout_seed_3/official_eval.json
web_timeout,27,1,fault,log,2,environment,1,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task27_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task27_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_timeout_task27_seed1/27/web_timeout_seed_1/official_eval.json
web_timeout,27,2,fault,log,2,environment,2,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task27_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task27_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_timeout_task27_seed2/27/web_timeout_seed_2/official_eval.json
web_timeout,27,3,fault,log,2,environment,3,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task27_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task27_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_timeout_task27_seed3/27/web_timeout_seed_3/official_eval.json
web_timeout,30,1,fault,log,2,environment,1,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task30_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task30_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_timeout_task30_seed1/30/web_timeout_seed_1/official_eval.json
web_timeout,30,2,fault,log,2,environment,2,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task30_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task30_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_timeout_task30_seed2/30/web_timeout_seed_2/official_eval.json
web_timeout,30,3,fault,log,2,environment,3,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task30_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_timeout_task30_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_timeout_task30_seed3/30/web_timeout_seed_3/official_eval.json
